id,storm,year,month,day,time,start_lat,start_lon,stop_lat,stop_lon,istor,F-EF-Rating,class
HNTBF,AH2017.HGX,2017,8,28,23,29.969,-94.553,29.969,-94.553,0,-1,0
HNTBG,AH2017.HGX,2017,8,28,208,29.645,-94.595,29.645,-94.595,0,-1,0
HNTBH,AH2017.HGX,2017,8,28,235,29.671,-95.436,29.671,-95.436,0,-1,0
HNTBI,AH2017.HGX,2017,8,28,251,29.629,-94.698,29.629,-94.698,0,-1,0
HNTBJ,AH2017.HGX,2017,8,28,333,29.529,-94.578,29.529,-94.578,0,-1,0
HNTBK,AH2017.HGX,2017,8,28,407,29.669,-95.041,29.669,-95.041,0,-1,0
HNTBL,AH2017.HGX,2017,8,28,439,29.584,-94.69,29.584,-94.69,0,-1,0
HNTBM,AH2017.HGX,2017,8,28,501,29.578,-94.579,29.578,-94.579,0,-1,0
HNTBN,AH2017.HGX,2017,8,28,633,29.743,-94.424,29.743,-94.424,0,-1,0
615664,AH2017.HGX,2017,8,25,1924,29.331,-94.826,29.331,-94.826,1,0,-1
615665,AH2017.HGX,2017,8,25,2028,28.989,-95.475,28.989,-95.475,1,0,-1
615667,AH2017.HGX,2017,8,25,2111,28.4239,-96.6671,28.4239,-96.6671,1,0,-1
615670,AH2017.HGX,2017,8,26,530,29.313,-95.328,29.313,-95.328,1,0,-1
615674,AH2017.HGX,2017,8,26,716,29.31,-96.2,29.31,-96.2,1,0,-1
615675,AH2017.HGX,2017,8,26,710,29.68,-95.76,29.68,-95.76,1,0,-1
615676,AH2017.HGX,2017,8,26,930,29.93,-95.14,29.93,-95.14,1,0,-1
615677,AH2017.HGX,2017,8,26,957,29.75,-95.84,29.75,-95.84,1,1,-1
615680,AH2017.HGX,2017,8,26,1722,29.9692,-93.3495,29.9692,-93.3495,1,0,-1
615683,AH2017.HGX,2017,8,26,2117,29.94,-95.65,29.94,-95.65,1,0,-1
615684,AH2017.HGX,2017,8,26,2232,29.57,-96.11,29.57,-96.11,1,0,-1
615687,AH2017.HGX,2017,8,27,503,29.54,-95.13,29.54,-95.13,1,0,-1
615688,AH2017.HGX,2017,8,27,642,29.52,-96.07,29.52,-96.07,1,1,-1
615689,AH2017.HGX,2017,8,27,905,29.51,-95.01,29.51,-95.01,1,0,-1
615690,AH2017.HGX,2017,8,27,1515,29.7,-95.4,29.7,-95.4,1,0,-1
615691,AH2017.HGX,2017,8,27,1834,29.9893,-92.0415,29.9893,-92.0415,1,0,-1
615692,AH2017.HGX,2017,8,27,1939,29.9708,-91.7559,29.9708,-91.7559,1,0,-1
615693,AH2017.HGX,2017,8,28,939,29.7638,-93.71,29.7638,-93.71,1,0,-1
615696,AH2017.HGX,2017,8,29,2234,30.16,-92.18,30.16,-92.18,1,0,-1
615697,AH2017.HGX,2017,8,30,546,30.3962,-88.9121,30.3962,-88.9121,1,0,-1
615698,AH2017.HGX,2017,8,30,717,30.3431,-88.5479,30.3431,-88.5479,1,0,-1
615700,AH2017.HGX,2017,8,30,1507,30.7239,-89.3618,30.7239,-89.3618,1,1,-1
615702,AH2017.HGX,2017,8,30,1641,31.3462,-89.2692,31.3462,-89.2692,1,1,-1
615703,AH2017.HGX,2017,8,30,1730,31.5687,-89.7513,31.5687,-89.7513,1,0,-1
615705,AH2017.HGX,2017,8,31,1657,34.9455,-89.3006,34.9455,-89.3006,1,0,-1
615706,AH2017.HGX,2017,8,31,1813,34.3144,-88.7272,34.3144,-88.7272,1,0,-1
615708,AH2017.HGX,2017,8,31,1841,34.5998,-88.5679,34.5998,-88.5679,1,0,-1
615709,AH2017.HGX,2017,8,31,1957,35.2294,-88.3411,35.2294,-88.3411,1,0,-1
615711,AH2017.HGX,2017,8,31,2123,35.5402,-87.7327,35.5402,-87.7327,1,0,-1
615712,AH2017.HGX,2017,8,31,2141,35.2669,-88.0316,35.2669,-88.0316,1,0,-1
615713,AH2017.HGX,2017,8,31,2211,35.5178,-87.2251,35.5178,-87.2251,1,0,-1
615719,AH2017.HGX,2017,9,1,447,36.1597,-86.7079,36.1597,-86.7079,1,0,-1
615666,AH2017.HGX,2017,8,25,2114,28.796,-95.702,28.796,-95.702,1,1,-1
615668,AH2017.HGX,2017,8,25,2319,29.183,-95.595,29.183,-95.595,1,0,-1
615669,AH2017.HGX,2017,8,26,244,29.223,-95.367,29.223,-95.367,1,0,-1
615671,AH2017.HGX,2017,8,26,550,29.45,-95.47,29.45,-95.47,1,0,-1
615673,AH2017.HGX,2017,8,26,558,29.484,-95.522,29.484,-95.522,1,1,-1
615681,AH2017.HGX,2017,8,26,2052,29.91,-95.7,29.91,-95.7,1,1,-1
615685,AH2017.HGX,2017,8,27,125,29.63,-95.55,29.63,-95.55,1,1,-1
615695,AH2017.HGX,2017,8,29,2212,30.2276,-92.5776,30.2276,-92.5776,1,2,-1
615699,AH2017.HGX,2017,8,30,1504,31.1606,-89.5365,31.1606,-89.5365,1,1,-1
615701,AH2017.HGX,2017,8,30,1631,30.3638,-88.769,30.3638,-88.769,1,0,-1
615707,AH2017.HGX,2017,8,31,1828,34.4294,-88.5135,34.4294,-88.5135,1,1,-1
615710,AH2017.HGX,2017,8,31,2043,33.3793,-88.0344,33.3793,-88.0344,1,2,-1
615714,AH2017.HGX,2017,9,1,0,32.9173,-87.3345,32.9173,-87.3345,1,1,-1
